127.0.0.1, 2019-05-19 12:10:12, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2019-05-19 12:10:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.533000
127.0.0.1, 2019-05-19 12:10:18, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-19 12:10:18, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-19 12:10:18, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-19 12:10:18, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-19 12:10:18, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-19 12:10:18, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-19 12:10:18, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-19 12:10:18, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-19 12:10:18, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-19 12:10:20, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2019-05-19 12:10:20, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-19 12:10:27, GET, /hw4/default/index, HTTP/1.1, 404, 0.009000
127.0.0.1, 2019-05-19 12:10:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-05-19 12:18:53, GET, /hw4/default/index, HTTP/1.1, 200, 0.086000
127.0.0.1, 2019-05-19 12:18:53, GET, /hw4/static/css/stupid.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-19 12:18:53, GET, /hw4/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-19 12:18:53, GET, /hw4/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-19 12:18:53, GET, /hw4/static/css/myapp.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-19 12:18:53, GET, /hw4/static/css/custom.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2019-05-19 12:18:53, GET, /hw4/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-19 12:18:53, GET, /hw4/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-19 12:18:53, GET, /hw4/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-19 12:18:53, GET, /hw4/static/js/vue.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-19 12:18:53, GET, /hw4/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-19 12:18:53, GET, /hw4/static/js/default_index.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-19 12:18:53, GET, /hw4/static/js/marked.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-19 12:18:53, GET, /hw4/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-19 12:18:54, GET, /hw4/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-19 12:18:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-05-19 12:29:22, GET, /hw4/default/user/login, HTTP/1.1, 200, 0.041004
127.0.0.1, 2019-05-19 12:29:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-05-19 12:29:31, POST, /hw4/default/user/login, HTTP/1.1, 303, 0.053005
127.0.0.1, 2019-05-19 12:29:31, GET, /hw4/default/index, HTTP/1.1, 200, 0.039004
127.0.0.1, 2019-05-19 12:29:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-05-19 12:40:54, GET, /hw4/default/products, HTTP/1.1, 200, 0.049000
127.0.0.1, 2019-05-19 12:40:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
